DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
16-Apr-26,EQ,"37,375.00","37,565.00","36,950.00","37,080.00","37,415.00","37,440.00","37,277.81","41,945.00","26,580.00",31261,"1,16,53,41,590.00",12792
15-Apr-26,EQ,"37,100.00","37,235.00","36,415.00","36,615.00","37,125.00","37,080.00","36,899.09","41,945.00","26,580.00",92805,"3,42,44,20,280.00",29405
13-Apr-26,EQ,"36,665.00","37,385.00","36,420.00","37,330.00","36,615.00","36,615.00","36,867.91","41,945.00","26,580.00",57408,"2,11,65,13,145.00",20285
10-Apr-26,EQ,"36,990.00","37,670.00","36,850.00","36,770.00","37,300.00","37,330.00","37,303.58","41,945.00","25,921.60",83719,"3,12,30,18,515.00",28374
09-Apr-26,EQ,"36,180.00","37,570.00","35,825.00","35,935.00","36,610.00","36,770.00","36,721.32","41,945.00","25,921.60",262676,"9,64,58,08,530.00",77065
08-Apr-26,EQ,"34,250.00","36,300.00","34,250.00","33,445.00","35,855.00","35,935.00","35,485.17","41,945.00","25,921.60",107352,"3,80,94,04,290.00",38872
07-Apr-26,EQ,"33,360.00","33,800.00","32,555.00","33,460.00","33,620.00","33,445.00","33,173.60","41,945.00","25,921.60",57128,"1,89,51,41,240.00",23260
06-Apr-26,EQ,"32,155.00","33,535.00","32,155.00","32,135.00","33,410.00","33,460.00","32,968.42","41,945.00","25,921.60",65114,"2,14,67,05,640.00",25473
02-Apr-26,EQ,"30,035.00","32,325.00","29,900.00","30,635.00","32,205.00","32,135.00","31,559.52","41,945.00","25,921.60",85448,"2,69,66,98,060.00",35735
01-Apr-26,EQ,"29,445.00","31,085.00","29,120.00","28,745.00","30,775.00","30,635.00","30,585.46","41,945.00","25,921.60",70699,"2,16,23,61,085.00",29243
30-Mar-26,EQ,"29,220.00","29,470.00","28,610.00","29,615.00","28,750.00","28,745.00","28,926.91","41,945.00","25,921.60",39061,"1,12,99,13,970.00",15054
27-Mar-26,EQ,"30,395.00","30,480.00","29,515.00","30,390.00","29,600.00","29,615.00","29,776.75","41,945.00","25,921.60",31803,"94,69,90,130.00",14476
25-Mar-26,EQ,"30,340.00","30,705.00","30,180.00","30,080.00","30,405.00","30,390.00","30,472.08","41,945.00","25,921.60",17887,"54,50,54,155.00",7035
24-Mar-26,EQ,"29,650.00","30,250.00","29,400.00","29,135.00","30,050.00","30,080.00","29,859.23","41,945.00","25,921.60",27727,"82,79,06,995.00",12583
23-Mar-26,EQ,"30,220.00","30,300.00","29,000.00","30,390.00","29,270.00","29,135.00","29,433.63","41,945.00","25,921.60",25264,"74,36,11,140.00",11147
20-Mar-26,EQ,"30,300.00","30,825.00","30,280.00","30,135.00","30,440.00","30,390.00","30,524.04","41,945.00","25,921.60",30424,"92,86,63,415.00",8943
19-Mar-26,EQ,"30,520.00","30,600.00","29,945.00","31,005.00","30,300.00","30,135.00","30,240.29","41,945.00","25,921.60",12551,"37,95,45,900.00",5905
18-Mar-26,EQ,"30,780.00","31,275.00","30,635.00","30,645.00","31,000.00","31,005.00","31,046.37","41,945.00","25,921.60",14836,"46,06,03,965.00",7201
17-Mar-26,EQ,"30,595.00","30,910.00","30,390.00","30,355.00","30,750.00","30,645.00","30,639.24","41,945.00","25,921.60",11579,"35,47,71,755.00",6258
16-Mar-26,EQ,"30,260.00","30,580.00","29,815.00","30,185.00","30,475.00","30,355.00","30,231.71","41,945.00","25,921.60",16874,"51,01,29,800.00",8738
